dataset,write_ratio,index_name,throughput_mops,latency_ns,time_ms,trial
osm_cellids,0.02,HRT-LI v3,0.515072,1941.47,194.147,3
osm_cellids,0.02,ALEX,10.0922,99.0869,9.90869,3
osm_cellids,0.02,Dynamic PGM,3.79556,263.466,26.3466,3
osm_cellids,0.02,HOT,1.06717,937.059,93.7059,3
osm_cellids,0.02,ART,1.39488,716.905,71.6905,3
osm_cellids,0.05,HRT-LI,0.96734,1033.76,103.376,3
osm_cellids,0.05,HRT-LI v3,0.525008,1904.73,190.473,3
osm_cellids,0.05,ALEX,10.0273,99.7278,9.97278,3
osm_cellids,0.05,Dynamic PGM,3.84574,260.028,26.0028,3
osm_cellids,0.05,HOT,0.938891,1065.09,106.509,3
osm_cellids,0.05,ART,1.41751,705.464,70.5464,3
osm_cellids,0.1,HRT-LI,0.790771,1264.59,126.459,3
osm_cellids,0.1,HRT-LI v3,0.478045,2091.85,209.185,3
osm_cellids,0.1,ALEX,9.10929,109.778,10.9778,3
osm_cellids,0.1,Dynamic PGM,3.82755,261.263,26.1263,3
osm_cellids,0.1,HOT,1.0819,924.296,92.4296,3
osm_cellids,0.1,ART,1.32065,757.205,75.7205,3
osm_cellids,0.25,HRT-LI,0.668239,1496.47,149.647,3
osm_cellids,0.25,HRT-LI v3,0.499576,2001.7,200.17,3
osm_cellids,0.25,ALEX,8.78478,113.833,11.3833,3
osm_cellids,0.25,Dynamic PGM,4.09369,244.279,24.4279,3
osm_cellids,0.25,HOT,1.13911,877.88,87.788,3
osm_cellids,0.25,ART,1.39731,715.662,71.5662,3
osm_cellids,0.5,HRT-LI,0.645113,1550.12,155.012,3
osm_cellids,0.5,HRT-LI v3,0.5018,1992.83,199.283,3
osm_cellids,0.5,ALEX,7.7638,128.803,12.8803,3
osm_cellids,0.5,Dynamic PGM,5.34737,187.008,18.7008,3
osm_cellids,0.5,HOT,1.20528,829.682,82.9682,3
osm_cellids,0.5,ART,1.70466,586.626,58.6626,3
osm_cellids,0.75,HRT-LI,0.581056,1721,172.1,3
osm_cellids,0.75,HRT-LI v3,0.496161,2015.47,201.547,3
osm_cellids,0.75,ALEX,8.25102,121.197,12.1197,3
osm_cellids,0.75,Dynamic PGM,6.79887,147.083,14.7083,3
osm_cellids,0.75,HOT,1.65377,604.68,60.468,3
osm_cellids,0.75,ART,1.90125,525.969,52.5969,3
osm_cellids,1,HRT-LI,0.468666,2133.72,213.372,3
osm_cellids,1,HRT-LI v3,0.59858,1670.62,167.062,3
osm_cellids,1,ALEX,12.6392,79.1188,7.91188,3
osm_cellids,1,Dynamic PGM,10.9707,91.1515,9.11515,3
osm_cellids,1,HOT,3.07731,324.959,32.4959,3
osm_cellids,1,ART,5.5172,181.251,18.1251,3
wiki_ts,0,HRT-LI,1.01565,984.593,98.4593,4
wiki_ts,0,HRT-LI v3,0.527027,1897.43,189.743,4
wiki_ts,0,ALEX,10.6521,93.8781,9.38781,4
wiki_ts,0,Dynamic PGM,7.65614,130.614,13.0614,4
wiki_ts,0,HOT,0.978245,1022.24,102.224,4
wiki_ts,0,ART,1.23539,809.464,80.9464,4
wiki_ts,0.01,HRT-LI,0.678592,1473.64,147.364,4
wiki_ts,0.01,HRT-LI v3,0.567885,1760.92,176.092,4
wiki_ts,0.01,ALEX,9.87819,101.233,10.1233,4
